/@lastUpdate,/@lastUpdate/#agg,/@version,/@version/#agg,/station/id,/station/id/#agg,/station/installDate,/station/installDate/#agg,/station/installed,/station/lat,/station/lat/#agg,/station/locked,/station/long,/station/long/#agg,/station/name,/station/nbBikes,/station/nbBikes/#agg,/station/nbDocks,/station/nbDocks/#agg,/station/nbEBikes,/station/nbEBikes/#agg,/station/nbEmptyDocks,/station/nbEmptyDocks/#agg,/station/nbStandardBikes,/station/nbStandardBikes/#agg,/station/removalDate,/station/removalDate/#agg,/station/temporary,/station/terminalName,/station/terminalName/#agg
1.72243E+12,1.72243E+12,2,2,1,1,1.27895E+12,1.27895E+12,TRUE,51.52916347,51.52916347,FALSE,-0.109970527,-0.109970527,"River Street , Clerkenwell",9,9,19,19,2,2,9,9,7,7,,,FALSE,1023,1023
1.72243E+12,,2,,2,2,1.27859E+12,1.27859E+12,TRUE,51.49960695,51.49960695,FALSE,-0.197574246,-0.197574246,"Phillimore Gardens, Kensington",6,6,37,37,0,0,29,29,6,6,,,FALSE,1018,1018
1.72243E+12,,2,,3,3,1.27824E+12,1.27824E+12,TRUE,51.52128377,51.52128377,FALSE,-0.084605692,-0.084605692,"Christopher Street, Liverpool Street",22,22,32,32,4,4,10,10,18,18,,,FALSE,1012,1012
1.72243E+12,,2,,4,4,1.27824E+12,1.27824E+12,TRUE,51.53005939,51.53005939,FALSE,-0.120973687,-0.120973687,"St. Chad's Street, King's Cross",7,7,23,23,0,0,16,16,7,7,,,FALSE,1013,1013
1.72243E+12,,2,,5,5,1.27824E+12,1.27824E+12,TRUE,51.49313,51.49313,FALSE,-0.156876,-0.156876,"Sedding Street, Sloane Square",6,6,27,27,1,1,21,21,5,5,,,FALSE,3420,3420
1.72243E+12,,2,,6,6,1.27824E+12,1.27824E+12,TRUE,51.51811784,51.51811784,FALSE,-0.144228881,-0.144228881,"Broadcasting House, Marylebone",15,15,18,18,3,3,3,3,12,12,,,FALSE,3424,3424
1.72243E+12,,2,,7,7,1.27824E+12,1.27824E+12,TRUE,51.53430039,51.53430039,FALSE,-0.1680743,-0.1680743,"Charlbert Street, St. John's Wood",8,8,16,16,7,7,7,7,1,1,,,FALSE,3422,3422
1.72243E+12,,2,,8,8,1.54098E+12,1.54098E+12,TRUE,51.529857,51.529857,FALSE,-0.18348604,-0.18348604,"Maida Vale, Maida Vale",25,25,39,39,6,6,13,13,19,19,,,FALSE,3423,3423
1.72243E+12,,2,,9,9,1.27824E+12,1.27824E+12,TRUE,51.5073853,51.5073853,FALSE,-0.096440751,-0.096440751,"New Globe Walk, Bankside",4,4,19,19,0,0,15,15,4,4,,,FALSE,1015,1015
1.72243E+12,,2,,10,10,1.27824E+12,1.27824E+12,TRUE,51.50597426,51.50597426,FALSE,-0.092754157,-0.092754157,"Park Street, Bankside",15,15,18,18,0,0,3,3,15,15,,,FALSE,1024,1024
1.72243E+12,,2,,11,11,1.27834E+12,1.27834E+12,TRUE,51.52395143,51.52395143,FALSE,-0.122502346,-0.122502346,"Brunswick Square, Bloomsbury",2,2,24,24,1,1,22,22,1,1,,,FALSE,1022,1022
1.72243E+12,,2,,12,12,1.27834E+12,1.27834E+12,TRUE,51.52168078,51.52168078,FALSE,-0.130431727,-0.130431727,"Malet Street, Bloomsbury",33,33,49,49,6,6,15,15,27,27,,,FALSE,980,980
1.72243E+12,,2,,13,13,1.27834E+12,1.27834E+12,TRUE,51.51991453,51.51991453,FALSE,-0.136039674,-0.136039674,"Scala Street, Fitzrovia",20,20,21,21,4,4,0,0,16,16,,,FALSE,970,970
1.72243E+12,,2,,14,14,1.27834E+12,1.27834E+12,TRUE,51.529416,51.529416,FALSE,-0.1239444,-0.1239444,"Argyle Street, Kings Cross",13,13,45,45,0,0,26,26,13,13,,,FALSE,1011,1011
1.72243E+12,,2,,15,15,1.27834E+12,1.27834E+12,TRUE,51.51772703,51.51772703,FALSE,-0.127854211,-0.127854211,"Great Russell Street, Bloomsbury",25,25,26,26,8,8,1,1,17,17,,,FALSE,988,988
1.72243E+12,,2,,16,16,1.27834E+12,1.27834E+12,TRUE,51.52635795,51.52635795,FALSE,-0.125979294,-0.125979294,"Cartwright Gardens , Bloomsbury",2,2,21,21,0,0,19,19,2,2,,,FALSE,1010,1010
1.72243E+12,,2,,17,17,1.27842E+12,1.27842E+12,TRUE,51.5216612,51.5216612,FALSE,-0.109006325,-0.109006325,"Hatton Wall, Holborn",19,19,26,26,3,3,7,7,16,16,,,FALSE,1008,1008
1.72243E+12,,2,,18,18,1.27843E+12,1.27843E+12,TRUE,51.51477076,51.51477076,FALSE,-0.12221963,-0.12221963,"Drury Lane, Covent Garden",26,26,27,27,8,8,1,1,18,18,,,FALSE,1007,1007
