rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks
1,We're Going on a Bear Hunt: The bestselling classic family favourite,Michael Rosen,4.0,Paperback,4.8,4800.0,0744523230,9780744523232,40,Classic Books,2-4,2025-01-27T10:17:02.627246,0744523230,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/0744523230,https://images-eu.ssl-images-amazon.com/images/P/0744523230.01.L.jpg,1 in Classics for Children | 1 in Children's Fiction Books on Animals | 1 in Children's Early Learning Books on Words
2,Guess How Much I Love You: The beloved classic and perfect Valentines gift,Sam McBratney,4.0,Board book,4.8,8792.0,,9781406358780,32,Classic Books,,2025-01-27T10:17:02.631940,1406358789,https://www.amazon.co.uk/Guess-How-Much-Love-You/dp/1406358789,https://images-eu.ssl-images-amazon.com/images/P/1406358789.01.L.jpg,1 in Fiction About Emotions & Feelings for Children | 1 in Children's Books on Emotions & Feelings | 1 in Children's Books on Valentine's Day
3,Dear Zoo: The Lift-the-flap Preschool Classic,Rod Campbell,4.0,Board book,4.8,30611.0,1529074932,9781529074932,18,Classic Books,1-3,2025-01-27T10:17:02.635077,1529074932,https://www.amazon.co.uk/Dear-Zoo-Anniversary-Rod-Campbell/dp/1529074932,https://images-eu.ssl-images-amazon.com/images/P/1529074932.01.L.jpg,1 in Children's Early Learning Books on Size & Shape | 3 in Classics for Children | 4 in Children's Fiction Books on Animals
4,The Tiger Who Came to Tea,Judith Kerr,4.0,Paperback,4.8,15667.0,0007368380,9780007215997,32,Classic Books,2-4,2025-01-27T10:17:02.638084,0007215991,https://www.amazon.co.uk/Tiger-Who-Came-Tea/dp/0007215991,https://images-eu.ssl-images-amazon.com/images/P/0007215991.01.L.jpg,2 in Children’s Daily Activity Fiction Books | 4 in Classics for Children | 5 in Children's Fiction Books on Animals
5,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,Rod Campbell,4.0,Board book,4.8,2641.0,1529097886,9781529097887,18,Classic Books,,2025-01-27T10:17:02.640956,1529097886,https://www.amazon.co.uk/Oh-Dear-Rod-Campbell/dp/1529097886,https://images-eu.ssl-images-amazon.com/images/P/1529097886.01.L.jpg,1 in Children's Books on Easter | 2 in Children's Books on Country & Farm Life | 3 in Children's Books on Farm Animals
6,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",Julia Donaldson,4.0,Board book,4.8,6898.0,1529023475,9781529023473,12,Classic Books,1-3,2025-01-27T10:17:02.643769,1529023475,https://www.amazon.co.uk/Foxs-Socks-Anniversary-Tales-Acorn/dp/1529023475,https://images-eu.ssl-images-amazon.com/images/P/1529023475.01.L.jpg,1 in Children's Books on Fashion Crafts | 2 in Children's Books on Home | 3 in Children’s Daily Activity Fiction Books
7,"Rabbit's Nap: A Lift-the-flap Book (Tales From Acorn Wood, 4)",Julia Donaldson,4.0,Board book,4.8,6603.0,1529023521,9781529023527,12,Classic Books,1-2,2025-01-27T10:17:02.648044,1529023521,https://www.amazon.co.uk/Rabbits-Nap-Anniversary-Tales-Acorn/dp/1529023521,https://images-eu.ssl-images-amazon.com/images/P/1529023521.01.L.jpg,1 in Children's Books on Rabbits | 2 in Children's Bedtime & Dream Books | 2 in Children's Books on Easter
8,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,6.49,Board book,4.9,16971.0,,9781509830398,24,Classic Books,2-4,2025-01-27T10:17:02.650716,1509830391,https://www.amazon.co.uk/Gruffalo-Julia-Donaldson/dp/1509830391,https://images-eu.ssl-images-amazon.com/images/P/1509830391.01.L.jpg,"2 in Horror & Ghost Stories for Children | 3 in Dragons, Unicorns & Mythical Creatures Tales for Children | 5 in Children's Books on Mystery & Wonders"
9,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),Eric Hill,5.0,Hardcover,4.8,34176.0,0723263663,9780723263661,22,Classic Books,1-2,2025-01-27T10:17:02.652410,0723263663,https://www.amazon.co.uk/Wheres-Spot-Original-Lift-Flap/dp/0723263663,https://images-eu.ssl-images-amazon.com/images/P/0723263663.01.L.jpg,8 in Children's Books on Dogs | 9 in Classics for Children | 16 in Children's Books on Mammals
10,"Postman Bear: A Lift-the-flap Story (Tales From Acorn Wood, 3)",Julia Donaldson,4.0,Board book,4.8,3071.0,152902353X,9781529023534,12,Classic Books,1-2,2025-01-27T10:17:02.655116,152902353X,https://www.amazon.co.uk/Postman-Bear-Anniversary-Tales-Acorn/dp/152902353X,https://images-eu.ssl-images-amazon.com/images/P/152902353X.01.L.jpg,4 in Children's Books on Bears | 4 in Children's Early Learning Books on Numbers & Counting | 10 in Classics for Children
