rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks
1,Guess How Much I Love You: The beloved classic and perfect Valentines gift,Sam McBratney,4.0,Board book,4.8,8752.0,,9781406358780,32,Classic Books,,2025-01-18T18:06:11.248392,1406358789,https://www.amazon.co.uk/Guess-How-Much-Love-You/dp/1406358789,https://images-eu.ssl-images-amazon.com/images/P/1406358789.01.L.jpg,1 in Fiction About Emotions & Feelings for Children | 1 in Children's Books on Emotions & Feelings | 1 in Classics for Children
2,Dear Zoo: The Lift-the-flap Preschool Classic,Rod Campbell,4.0,Board book,4.8,30581.0,1529074932,9781529074932,18,Classic Books,1-3,2025-01-18T18:06:11.250176,1529074932,https://www.amazon.co.uk/Dear-Zoo-Anniversary-Rod-Campbell/dp/1529074932,https://images-eu.ssl-images-amazon.com/images/P/1529074932.01.L.jpg,2 in Classics for Children | 2 in Children's Early Learning Books on Size & Shape | 5 in Children's Fiction Books on Animals
3,The Tiger Who Came to Tea,Judith Kerr,4.0,Paperback,4.8,15641.0,0007368380,9780007215997,32,Classic Books,2-4,2025-01-18T18:06:11.251768,0007215991,https://www.amazon.co.uk/Tiger-Who-Came-Tea/dp/0007215991,https://images-eu.ssl-images-amazon.com/images/P/0007215991.01.L.jpg,2 in Children’s Daily Activity Fiction Books | 3 in Classics for Children | 4 in Doctors & Medicine Humour
4,We're Going on a Bear Hunt: The bestselling classic family favourite,Michael Rosen,4.0,Paperback,4.8,4779.0,0744523230,9780744523232,40,Classic Books,2-4,2025-01-18T18:06:11.253360,0744523230,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/0744523230,https://images-eu.ssl-images-amazon.com/images/P/0744523230.01.L.jpg,2 in Children's Early Learning Books on Words | 4 in Classics for Children | 12 in Activity Books for Children
5,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,Rod Campbell,4.0,Board book,4.8,2619.0,1529097886,9781529097887,18,Classic Books,,2025-01-18T18:06:11.255080,1529097886,https://www.amazon.co.uk/Oh-Dear-Rod-Campbell/dp/1529097886,https://images-eu.ssl-images-amazon.com/images/P/1529097886.01.L.jpg,1 in Children's Books on Country & Farm Life | 1 in Children's Books on Easter | 2 in Children's Books on Farm Animals
6,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,6.49,Board book,4.9,16945.0,,9781509830398,24,Classic Books,2-4,2025-01-18T18:06:11.256672,1509830391,https://www.amazon.co.uk/Gruffalo-Julia-Donaldson/dp/1509830391,https://images-eu.ssl-images-amazon.com/images/P/1509830391.01.L.jpg,"2 in Horror & Ghost Stories for Children | 3 in Dragons, Unicorns & Mythical Creatures Tales for Children | 4 in Children's Books on Mystery & Wonders"
7,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),Eric Hill,5.0,Hardcover,4.8,34159.0,0723263663,9780723263661,22,Classic Books,1-2,2025-01-18T18:06:11.258666,0723263663,https://www.amazon.co.uk/Wheres-Spot-Original-Lift-Flap/dp/0723263663,https://images-eu.ssl-images-amazon.com/images/P/0723263663.01.L.jpg,7 in Classics for Children | 8 in Children's Books on Dogs | 16 in Children's Books on Mammals
8,"Gruffalo, Where Are You?: A Felt Flaps Book (Gruffalo Baby, 3)",Julia Donaldson,7.99,Board book,4.8,2499.0,1529023602,9781529023602,10,Classic Books,,2025-01-18T18:06:11.260412,1529023602,https://www.amazon.co.uk/Gruffalo-Where-Are-You-Flaps/dp/1529023602,https://images-eu.ssl-images-amazon.com/images/P/1529023602.01.L.jpg,"2 in Children's Books on Rabbits | 6 in Dragons, Unicorns & Mythical Creatures Tales for Children | 7 in Children's Books on Mystery & Wonders"
9,Harry Potter Children's Collection: The Complete Collection (Children's Paperback),J.K. Rowling,39.99,Paperback,4.9,36945.0,,9781408856772,3872,Classic Books,8+,2025-01-18T18:06:11.262008,1408856778,https://www.amazon.co.uk/Harry-Potter-Box-Set-Collection/dp/1408856778,https://images-eu.ssl-images-amazon.com/images/P/1408856778.01.L.jpg,2 in Chapter Books for Children | 3 in Fiction Classics for Young Adults | 4 in Fantasy Fiction About Wizards & Witches for Young Adults
10,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",Julia Donaldson,4.0,Board book,4.8,6888.0,1529023475,9781529023473,12,Classic Books,1-3,2025-01-18T18:06:11.263581,1529023475,https://www.amazon.co.uk/Foxs-Socks-Anniversary-Tales-Acorn/dp/1529023475,https://images-eu.ssl-images-amazon.com/images/P/1529023475.01.L.jpg,1 in Children's Books on Fashion Crafts | 2 in Children's Books on Home | 3 in Children’s Daily Activity Fiction Books
