rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks
1,Guess How Much I Love You: The beloved classic and perfect Valentines gift,Sam McBratney,4.0,Board book,4.8,8841.0,,9781406358780,32,Classic Books,,2025-02-16T12:46:16.711895,1406358789,https://www.amazon.co.uk/Guess-How-Much-Love-You/dp/1406358789,https://images-eu.ssl-images-amazon.com/images/P/1406358789.01.L.jpg,1 in Classics for Children | 1 in Children's Books on Valentine's Day | 2 in Fiction About Family for Children
2,Dear Zoo: The Lift-the-flap Preschool Classic,Rod Campbell,4.0,Board book,4.8,30645.0,1529074932,9781529074932,18,Classic Books,1-3,2025-02-16T12:46:16.715359,1529074932,https://www.amazon.co.uk/Dear-Zoo-Anniversary-Rod-Campbell/dp/1529074932,https://images-eu.ssl-images-amazon.com/images/P/1529074932.01.L.jpg,1 in Children's Early Learning Books on Size & Shape | 2 in Classics for Children | 6 in Activity Books for Children
3,The Tiger Who Came to Tea,Judith Kerr,4.0,Paperback,4.8,15700.0,0007368380,9780007215997,32,Classic Books,2-4,2025-02-16T12:46:16.717202,0007215991,https://www.amazon.co.uk/Tiger-Who-Came-Tea/dp/0007215991,https://images-eu.ssl-images-amazon.com/images/P/0007215991.01.L.jpg,1 in Doctors & Medicine Humour | 2 in Children’s Daily Activity Fiction Books | 3 in Classics for Children
4,We're Going on a Bear Hunt: The bestselling classic family favourite,Michael Rosen,4.0,Paperback,4.8,4821.0,0744523230,9780744523232,40,Classic Books,2-4,2025-02-16T12:46:16.719045,0744523230,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/0744523230,https://images-eu.ssl-images-amazon.com/images/P/0744523230.01.L.jpg,1 in Children's Early Learning Books on Words | 4 in Classics for Children | 8 in Activity Books for Children
5,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,Rod Campbell,4.0,Board book,4.8,2671.0,1529097886,9781529097887,18,Classic Books,,2025-02-16T12:46:16.720697,1529097886,https://www.amazon.co.uk/Oh-Dear-Rod-Campbell/dp/1529097886,https://images-eu.ssl-images-amazon.com/images/P/1529097886.01.L.jpg,1 in Children's Books on Easter | 3 in Children's Books on Country & Farm Life | 3 in Children's Books on Farm Animals
6,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,6.39,Board book,4.9,17010.0,,9781509830398,24,Classic Books,2-4,2025-02-16T12:46:16.722575,1509830391,https://www.amazon.co.uk/Gruffalo-Julia-Donaldson/dp/1509830391,https://images-eu.ssl-images-amazon.com/images/P/1509830391.01.L.jpg,"2 in Horror & Ghost Stories for Children | 3 in Dragons, Unicorns & Mythical Creatures Tales for Children | 5 in Children's Books on Mystery & Wonders"
7,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",Julia Donaldson,4.0,Board book,4.8,6907.0,1529023475,9781529023473,12,Classic Books,1-3,2025-02-16T12:46:16.724371,1529023475,https://www.amazon.co.uk/Foxs-Socks-Anniversary-Tales-Acorn/dp/1529023475,https://images-eu.ssl-images-amazon.com/images/P/1529023475.01.L.jpg,1 in Children's Books on Home | 1 in Children's Books on Fashion Crafts | 3 in Children’s Daily Activity Fiction Books
8,Stephen King,Stephen King,20.0,Hardcover,,,1444919342,9781444919349,48,Classic Books,,2025-02-16T12:46:16.727970,1444919342,https://www.amazon.co.uk/Hansel-Gretel-Stephen-King/dp/1444919342,https://images-eu.ssl-images-amazon.com/images/P/1444919342.01.L.jpg,"6 in Fairy Tales, Folk Tales & Myths for Children (Books) | 7 in Primary School Textbooks | 8 in Classics for Children"
9,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),Eric Hill,5.0,Hardcover,4.8,34230.0,0723263663,9780723263661,22,Classic Books,1-2,2025-02-16T12:46:16.730729,0723263663,https://www.amazon.co.uk/Wheres-Spot-Original-Lift-Flap/dp/0723263663,https://images-eu.ssl-images-amazon.com/images/P/0723263663.01.L.jpg,9 in Children's Books on Dogs | 9 in Classics for Children | 18 in Children's Books on Mammals
10,"Hide-and-Seek Pig: A Lift-the-flap Story (Tales From Acorn Wood, 2)",Julia Donaldson,4.0,Board book,4.8,3984.0,1529023548,9781529023541,12,Classic Books,1-3,2025-02-16T12:46:16.732397,1529023548,https://www.amazon.co.uk/Hide-Seek-Pig-Anniversary-Tales/dp/1529023548,https://images-eu.ssl-images-amazon.com/images/P/1529023548.01.L.jpg,1 in Children's Books on Pigs | 1 in Children's Books on Sports & the Outdoors | 4 in Children's Books on Farm Animals
11,"Rabbit's Nap: A Lift-the-flap Book (Tales From Acorn Wood, 4)",Julia Donaldson,4.0,Board book,4.8,6613.0,1529023521,9781529023527,12,Classic Books,1-2,2025-02-16T12:46:16.734172,1529023521,https://www.amazon.co.uk/Rabbits-Nap-Anniversary-Tales-Acorn/dp/1529023521,https://images-eu.ssl-images-amazon.com/images/P/1529023521.01.L.jpg,2 in Children's Books on Easter | 2 in Children's Books on Rabbits | 3 in Children's Bedtime & Dream Books
12,Matilda,Roald Dahl,4.0,Paperback,4.8,21243.0,024155831X,9780241558317,384,Classic Books,6-8,2025-02-16T12:46:16.735815,024155831X,https://www.amazon.co.uk/Matilda-Special-Roald-Dahl/dp/024155831X,https://images-eu.ssl-images-amazon.com/images/P/024155831X.01.L.jpg,1 in Children's Fiction on Bullying | 1 in Young Adult Nonfiction on Adoption | 1 in Young Adult Nonfiction on Social & Family Violence
13,"Postman Bear: A Lift-the-flap Story (Tales From Acorn Wood, 3)",Julia Donaldson,4.0,Board book,4.8,3072.0,152902353X,9781529023534,12,Classic Books,1-2,2025-02-16T12:46:16.737450,152902353X,https://www.amazon.co.uk/Postman-Bear-Anniversary-Tales-Acorn/dp/152902353X,https://images-eu.ssl-images-amazon.com/images/P/152902353X.01.L.jpg,4 in Children's Books on Bears | 4 in Children's Early Learning Books on Numbers & Counting | 8 in Children's Books on Holidays & Celebrations
14,"The Tiger Who Came to Tea: The nation’s favourite illustrated children’s book, from the author of Mog the Forgetful Cat",Judith Kerr,3.69,Kindle Edition,4.8,15700.0,,,32,Classic Books,,2025-02-16T12:46:16.739064,B007XJ70QI,https://www.amazon.co.uk/Tiger-Who-Came-Tea-ebook/dp/B007XJ70QI,https://images-eu.ssl-images-amazon.com/images/P/B007XJ70QI.01.L.jpg,"1 in Children's Imagination & Play Literature | 1 in Children's Classic Literature | 1 in Children's Lion, Tiger & Leopard eBooks"
