rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks
1,Guess How Much I Love You: The beloved classic and perfect Valentines gift,Sam McBratney,2.65,Board book,4.8,8805.0,,9781406358780,32,Classic Books,,2025-02-03T10:31:01.414045,1406358789,https://www.amazon.co.uk/Guess-How-Much-Love-You/dp/1406358789,https://images-eu.ssl-images-amazon.com/images/P/1406358789.01.L.jpg,1 in Children's Books on Emotions & Feelings | 1 in Classics for Children | 1 in Fiction About Family for Children
2,Dear Zoo: The Lift-the-flap Preschool Classic,Rod Campbell,4.0,Board book,4.8,30622.0,1529074932,9781529074932,18,Classic Books,1-3,2025-02-03T10:31:01.436021,1529074932,https://www.amazon.co.uk/Dear-Zoo-Anniversary-Rod-Campbell/dp/1529074932,https://images-eu.ssl-images-amazon.com/images/P/1529074932.01.L.jpg,1 in Children's Early Learning Books on Size & Shape | 2 in Classics for Children | 6 in Children's Fiction Books on Animals
3,The Tiger Who Came to Tea,Judith Kerr,4.0,Paperback,4.8,15680.0,0007368380,9780007215997,32,Classic Books,2-4,2025-02-03T10:31:01.441086,0007215991,https://www.amazon.co.uk/Tiger-Who-Came-Tea/dp/0007215991,https://images-eu.ssl-images-amazon.com/images/P/0007215991.01.L.jpg,2 in Children’s Daily Activity Fiction Books | 3 in Classics for Children | 8 in Activity Books for Children
4,We're Going on a Bear Hunt: The bestselling classic family favourite,Michael Rosen,4.0,Paperback,4.8,4802.0,0744523230,9780744523232,40,Classic Books,2-4,2025-02-03T10:31:01.442741,0744523230,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/0744523230,https://images-eu.ssl-images-amazon.com/images/P/0744523230.01.L.jpg,1 in Children's Early Learning Books on Words | 4 in Classics for Children | 10 in Activity Books for Children
5,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,Rod Campbell,4.0,Board book,4.8,2654.0,1529097886,9781529097887,18,Classic Books,,2025-02-03T10:31:01.444600,1529097886,https://www.amazon.co.uk/Oh-Dear-Rod-Campbell/dp/1529097886,https://images-eu.ssl-images-amazon.com/images/P/1529097886.01.L.jpg,1 in Children's Books on Easter | 3 in Children's Books on Country & Farm Life | 3 in Children's Books on Farm Animals
6,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,6.49,Board book,4.9,16979.0,,9781509830398,24,Classic Books,2-4,2025-02-03T10:31:01.446512,1509830391,https://www.amazon.co.uk/Gruffalo-Julia-Donaldson/dp/1509830391,https://images-eu.ssl-images-amazon.com/images/P/1509830391.01.L.jpg,"2 in Horror & Ghost Stories for Children | 3 in Dragons, Unicorns & Mythical Creatures Tales for Children | 6 in Children's Books on Mystery & Wonders"
7,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",Julia Donaldson,4.0,Board book,4.8,6901.0,1529023475,9781529023473,12,Classic Books,1-3,2025-02-03T10:31:01.449080,1529023475,https://www.amazon.co.uk/Foxs-Socks-Anniversary-Tales-Acorn/dp/1529023475,https://images-eu.ssl-images-amazon.com/images/P/1529023475.01.L.jpg,1 in Children's Books on Home | 1 in Children's Books on Fashion Crafts | 3 in Children’s Daily Activity Fiction Books
8,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),Eric Hill,5.0,Hardcover,4.8,34190.0,0723263663,9780723263661,22,Classic Books,1-2,2025-02-03T10:31:01.457065,0723263663,https://www.amazon.co.uk/Wheres-Spot-Original-Lift-Flap/dp/0723263663,https://images-eu.ssl-images-amazon.com/images/P/0723263663.01.L.jpg,8 in Children's Books on Dogs | 8 in Classics for Children | 14 in Children's Books on Mammals
9,"Postman Bear: A Lift-the-flap Story (Tales From Acorn Wood, 3)",Julia Donaldson,4.0,Board book,4.8,3071.0,152902353X,9781529023534,12,Classic Books,1-2,2025-02-03T10:31:01.460155,152902353X,https://www.amazon.co.uk/Postman-Bear-Anniversary-Tales-Acorn/dp/152902353X,https://images-eu.ssl-images-amazon.com/images/P/152902353X.01.L.jpg,3 in Children's Books on Bears | 3 in Children's Early Learning Books on Numbers & Counting | 5 in Children's Books on Holidays & Celebrations
10,"Hide-and-Seek Pig: A Lift-the-flap Story (Tales From Acorn Wood, 2)",Julia Donaldson,4.0,Board book,4.8,3981.0,1529023548,9781529023541,12,Classic Books,1-3,2025-02-03T10:31:01.464113,1529023548,https://www.amazon.co.uk/Hide-Seek-Pig-Anniversary-Tales/dp/1529023548,https://images-eu.ssl-images-amazon.com/images/P/1529023548.01.L.jpg,1 in Children's Books on Pigs | 1 in Children's Books on Sports & the Outdoors | 4 in Children's Books on Farm Animals
11,"Rabbit's Nap: A Lift-the-flap Book (Tales From Acorn Wood, 4)",Julia Donaldson,4.0,Board book,4.8,6604.0,1529023521,9781529023527,12,Classic Books,1-2,2025-02-03T10:31:01.469262,1529023521,https://www.amazon.co.uk/Rabbits-Nap-Anniversary-Tales-Acorn/dp/1529023521,https://images-eu.ssl-images-amazon.com/images/P/1529023521.01.L.jpg,2 in Children's Bedtime & Dream Books | 2 in Children's Books on Easter | 3 in Children's Books on Rabbits
12,"The Tiger Who Came to Tea: The nation’s favourite illustrated children’s book, from the author of Mog the Forgetful Cat",Judith Kerr,3.69,Kindle Edition,4.8,15680.0,,,32,Classic Books,,2025-02-03T10:31:01.478300,B007XJ70QI,https://www.amazon.co.uk/Tiger-Who-Came-Tea-ebook/dp/B007XJ70QI,https://images-eu.ssl-images-amazon.com/images/P/B007XJ70QI.01.L.jpg,"1 in Children's Imagination & Play Literature | 1 in Children's Classic Literature | 1 in Children's Lion, Tiger & Leopard eBooks"
13,Charlie and the Chocolate Factory,Roald Dahl,6.99,Audible Audiobook,4.7,853.0,,,,Classic Books,,2025-02-03T10:31:01.483904,B0CS4HJRRG,https://www.amazon.co.uk/Charlie-and-the-Chocolate-Factory/dp/B0CS4HJRRG,https://images-eu.ssl-images-amazon.com/images/P/B0CS4HJRRG.01.L.jpg,
14,We're Going on a Bear Hunt: The bestselling classic in a super-sturdy board book for babies and toddlers,Michael Rosen,7.32,Board book,4.8,4592.0,1406363073,9781406363074,36,Classic Books,1-3,2025-02-03T10:31:01.497607,1406363073,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/1406363073,https://images-eu.ssl-images-amazon.com/images/P/1406363073.01.L.jpg,7 in Children's Early Learning Books on Words | 14 in Classics for Children | 55 in Action & Adventure for Children (Books)
15,"Over Sea, Under Stone: The Dark is Rising sequence",Susan Cooper,0.99,Kindle Edition,4.5,2237.0,,,343,Classic Books,,2025-02-03T10:31:01.499919,B0D46LMTH7,https://www.amazon.co.uk/Over-Sea-Under-Stone-sequence-ebook/dp/B0D46LMTH7,https://images-eu.ssl-images-amazon.com/images/P/B0D46LMTH7.01.L.jpg,2 in Children's Sword & Sorcery Fantasy eBooks | 2 in Children's Classic Literature | 9 in Children's Fantasy & Magic Adventure
16,"Brown Bear, Brown Bear, What Do You See?",Eric Carle,6.99,Board book,4.8,52179.0,0241137292,9780241137291,28,Classic Books,1-3,2025-02-03T10:31:01.511436,0241137292,https://www.amazon.co.uk/Brown-Bear-What-You-See/dp/0241137292,https://images-eu.ssl-images-amazon.com/images/P/0241137292.01.L.jpg,4 in Children's Early Learning Books on Colours | 4 in Children's Early Learning Books on Sounds | 5 in Children's Books on Bears
17,The Gruffalo 25th Anniversary Edition: with a shiny gold foil cover and fun Gruffalo activities to make and do!,Julia Donaldson,4.0,Paperback,4.9,176.0,1035028395,9781035028399,32,Classic Books,2-5,2025-02-03T10:31:01.515256,1035028395,https://www.amazon.co.uk/Gruffalo-25th-Anniversary-shiny-material/dp/1035028395,https://images-eu.ssl-images-amazon.com/images/P/1035028395.01.L.jpg,"6 in Horror & Ghost Stories for Children | 6 in Dragons, Unicorns & Mythical Creatures Tales for Children | 12 in Children's Books on Mystery & Wonders"
18,"Mr. Men Little Miss Love: The Perfect Valentine’s Day Gift for the kids, teens and adults in your life that you love",Roger Hargreaves,4.99,Hardcover,4.7,77.0,0008533873,9780008533878,32,Classic Books,,2025-02-03T10:31:01.519662,0008533873,https://www.amazon.co.uk/Mr-Men-Little-Miss-Love/dp/0008533873,https://images-eu.ssl-images-amazon.com/images/P/0008533873.01.L.jpg,3 in Children's Books on Social Skills | 3 in Children's Books on Valentine's Day | 3 in Friendship (Books)
19,Goodnight Moon,Margaret Wise Brown,7.35,Board book,4.7,48190.0,,9781509831975,32,Classic Books,1-3,2025-02-03T10:31:01.526796,1509831975,https://www.amazon.co.uk/Goodnight-Moon-Margaret-Wise-Brown/dp/1509831975,https://images-eu.ssl-images-amazon.com/images/P/1509831975.01.L.jpg,5 in Children's Bedtime & Dream Books | 5 in Children’s Daily Activity Fiction Books | 5 in Children’s Daily Activity Books
20,Harry Potter Children's Collection: The Complete Collection (Children's Paperback),J.K. Rowling,40.0,Paperback,4.9,37020.0,,9781408856772,3872,Classic Books,8+,2025-02-03T10:31:01.530129,1408856778,https://www.amazon.co.uk/Harry-Potter-Box-Set-Collection/dp/1408856778,https://images-eu.ssl-images-amazon.com/images/P/1408856778.01.L.jpg,2 in Chapter Books for Children | 2 in Fiction Classics for Young Adults | 12 in Contemporary Fantasy for Young Adults
21,Ten Little Fingers and Ten Little Toes,Mem Fox,7.35,Board book,4.8,2884.0,1406331260,9781406331264,38,Classic Books,,2025-02-03T10:31:01.548314,1406331260,https://www.amazon.co.uk/Ten-Little-Fingers-Toes/dp/1406331260,https://images-eu.ssl-images-amazon.com/images/P/1406331260.01.L.jpg,1 in Multicultural Stories for Children (Books) | 2 in Children's Books on New Babies | 3 in Children's Early Learning Books on the Body
