rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks
1,Guess How Much I Love You: The beloved classic and perfect Valentines gift,Sam McBratney,4.0,Board book,4.8,8839.0,,9781406358780,32,Classic Books,,2025-02-12T13:09:41.279316,1406358789,https://www.amazon.co.uk/Guess-How-Much-Love-You/dp/1406358789,https://images-eu.ssl-images-amazon.com/images/P/1406358789.01.L.jpg,1 in Classics for Children | 1 in Children's Books on Valentine's Day | 2 in Fiction About Family for Children
2,Dear Zoo: The Lift-the-flap Preschool Classic,Rod Campbell,4.0,Board book,4.8,30641.0,1529074932,9781529074932,18,Classic Books,1-3,2025-02-12T13:09:41.281201,1529074932,https://www.amazon.co.uk/Dear-Zoo-Anniversary-Rod-Campbell/dp/1529074932,https://images-eu.ssl-images-amazon.com/images/P/1529074932.01.L.jpg,1 in Children's Early Learning Books on Size & Shape | 2 in Classics for Children | 5 in Activity Books for Children
3,The Tiger Who Came to Tea,Judith Kerr,4.0,Paperback,4.8,15695.0,0007368380,9780007215997,32,Classic Books,2-4,2025-02-12T13:09:41.282874,0007215991,https://www.amazon.co.uk/Tiger-Who-Came-Tea/dp/0007215991,https://images-eu.ssl-images-amazon.com/images/P/0007215991.01.L.jpg,1 in Doctors & Medicine Humour | 2 in Children’s Daily Activity Fiction Books | 3 in Classics for Children
4,Love You Forever,Robert Munsch,4.95,Paperback,4.7,61885.0,0920668372,9780920668375,32,Classic Books,1-5,2025-02-12T13:09:41.284997,0920668372,https://www.amazon.co.uk/Love-You-Forever-Robert-Munsch/dp/0920668372,https://images-eu.ssl-images-amazon.com/images/P/0920668372.01.L.jpg,4 in Fiction About Emotions & Feelings for Children | 4 in Classics for Children | 6 in Children's Books on Emotions & Feelings
5,We're Going on a Bear Hunt: The bestselling classic family favourite,Michael Rosen,4.0,Paperback,4.8,4814.0,0744523230,9780744523232,40,Classic Books,2-4,2025-02-12T13:09:41.286895,0744523230,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/0744523230,https://images-eu.ssl-images-amazon.com/images/P/0744523230.01.L.jpg,1 in Children's Early Learning Books on Words | 5 in Classics for Children | 9 in Activity Books for Children
6,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,Rod Campbell,4.0,Board book,4.8,2665.0,1529097886,9781529097887,18,Classic Books,,2025-02-12T13:09:41.289218,1529097886,https://www.amazon.co.uk/Oh-Dear-Rod-Campbell/dp/1529097886,https://images-eu.ssl-images-amazon.com/images/P/1529097886.01.L.jpg,1 in Children's Books on Easter | 3 in Children's Books on Country & Farm Life | 3 in Children's Books on Farm Animals
7,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,6.49,Board book,4.9,17003.0,,9781509830398,24,Classic Books,2-4,2025-02-12T13:09:41.291002,1509830391,https://www.amazon.co.uk/Gruffalo-Julia-Donaldson/dp/1509830391,https://images-eu.ssl-images-amazon.com/images/P/1509830391.01.L.jpg,"2 in Horror & Ghost Stories for Children | 3 in Dragons, Unicorns & Mythical Creatures Tales for Children | 6 in Children's Books on Mystery & Wonders"
8,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),Eric Hill,5.0,Hardcover,4.8,34219.0,0723263663,9780723263661,22,Classic Books,1-2,2025-02-12T13:09:41.292803,0723263663,https://www.amazon.co.uk/Wheres-Spot-Original-Lift-Flap/dp/0723263663,https://images-eu.ssl-images-amazon.com/images/P/0723263663.01.L.jpg,8 in Classics for Children | 9 in Children's Books on Dogs | 15 in Children's Books on Mammals
9,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",Julia Donaldson,4.0,Board book,4.8,6907.0,1529023475,9781529023473,12,Classic Books,1-3,2025-02-12T13:09:41.294594,1529023475,https://www.amazon.co.uk/Foxs-Socks-Anniversary-Tales-Acorn/dp/1529023475,https://images-eu.ssl-images-amazon.com/images/P/1529023475.01.L.jpg,1 in Children's Books on Home | 1 in Children's Books on Fashion Crafts | 3 in Children’s Daily Activity Fiction Books
10,"Hide-and-Seek Pig: A Lift-the-flap Story (Tales From Acorn Wood, 2)",Julia Donaldson,4.0,Board book,4.8,3983.0,1529023548,9781529023541,12,Classic Books,1-3,2025-02-12T13:09:41.296992,1529023548,https://www.amazon.co.uk/Hide-Seek-Pig-Anniversary-Tales/dp/1529023548,https://images-eu.ssl-images-amazon.com/images/P/1529023548.01.L.jpg,1 in Children's Books on Pigs | 2 in Children's Books on Sports & the Outdoors | 4 in Children's Books on Farm Animals
