rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks
1,Guess How Much I Love You: The beloved classic and perfect Valentines gift,Sam McBratney,4.0,Board book,4.8,8782.0,,9781406358780,32,Classic Books,,2025-01-23T12:34:56.536009,1406358789,https://www.amazon.co.uk/Guess-How-Much-Love-You/dp/1406358789,https://images-eu.ssl-images-amazon.com/images/P/1406358789.01.L.jpg,1 in Fiction About Emotions & Feelings for Children | 1 in Children's Books on Emotions & Feelings | 1 in Classics for Children
2,Dear Zoo: The Lift-the-flap Preschool Classic,Rod Campbell,4.0,Board book,4.8,30603.0,1529074932,9781529074932,18,Classic Books,1-3,2025-01-23T12:34:56.537720,1529074932,https://www.amazon.co.uk/Dear-Zoo-Anniversary-Rod-Campbell/dp/1529074932,https://images-eu.ssl-images-amazon.com/images/P/1529074932.01.L.jpg,2 in Classics for Children | 2 in Children's Early Learning Books on Size & Shape | 5 in Children's Fiction Books on Animals
3,The Tiger Who Came to Tea,Judith Kerr,4.0,Paperback,4.8,15662.0,0007368380,9780007215997,32,Classic Books,2-4,2025-01-23T12:34:56.539411,0007215991,https://www.amazon.co.uk/Tiger-Who-Came-Tea/dp/0007215991,https://images-eu.ssl-images-amazon.com/images/P/0007215991.01.L.jpg,2 in Children’s Daily Activity Fiction Books | 3 in Classics for Children | 11 in Fiction About Family for Children
4,We're Going on a Bear Hunt: The bestselling classic family favourite,Michael Rosen,4.0,Paperback,4.8,4796.0,0744523230,9780744523232,40,Classic Books,2-4,2025-01-23T12:34:56.541382,0744523230,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/0744523230,https://images-eu.ssl-images-amazon.com/images/P/0744523230.01.L.jpg,2 in Children's Early Learning Books on Words | 4 in Classics for Children | 13 in Activity Books for Children
5,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,Rod Campbell,4.0,Board book,4.8,2633.0,1529097886,9781529097887,18,Classic Books,,2025-01-23T12:34:56.544158,1529097886,https://www.amazon.co.uk/Oh-Dear-Rod-Campbell/dp/1529097886,https://images-eu.ssl-images-amazon.com/images/P/1529097886.01.L.jpg,1 in Children's Books on Easter | 2 in Children's Books on Country & Farm Life | 2 in Children's Books on Farm Animals
6,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,6.49,Board book,4.9,16958.0,,9781509830398,24,Classic Books,2-4,2025-01-23T12:34:56.547088,1509830391,https://www.amazon.co.uk/Gruffalo-Julia-Donaldson/dp/1509830391,https://images-eu.ssl-images-amazon.com/images/P/1509830391.01.L.jpg,"2 in Horror & Ghost Stories for Children | 3 in Dragons, Unicorns & Mythical Creatures Tales for Children | 4 in Children's Books on Mystery & Wonders"
7,"The Tiger Who Came to Tea: The nation’s favourite illustrated children’s book, from the author of Mog the Forgetful Cat",Judith Kerr,3.69,Kindle Edition,4.8,15662.0,,,32,Classic Books,,2025-01-23T12:34:56.550973,B007XJ70QI,https://www.amazon.co.uk/Tiger-Who-Came-Tea-ebook/dp/B007XJ70QI,https://images-eu.ssl-images-amazon.com/images/P/B007XJ70QI.01.L.jpg,"1 in Children's Imagination & Play Literature | 1 in Children's Classic Literature | 1 in Children's Lion, Tiger & Leopard eBooks"
8,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",Julia Donaldson,4.0,Board book,4.8,6894.0,1529023475,9781529023473,12,Classic Books,1-3,2025-01-23T12:34:56.553845,1529023475,https://www.amazon.co.uk/Foxs-Socks-Anniversary-Tales-Acorn/dp/1529023475,https://images-eu.ssl-images-amazon.com/images/P/1529023475.01.L.jpg,1 in Children's Books on Fashion Crafts | 2 in Children's Books on Home | 4 in Children’s Daily Activity Fiction Books
9,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),Eric Hill,5.0,Hardcover,4.8,34174.0,0723263663,9780723263661,22,Classic Books,1-2,2025-01-23T12:34:56.555519,0723263663,https://www.amazon.co.uk/Wheres-Spot-Original-Lift-Flap/dp/0723263663,https://images-eu.ssl-images-amazon.com/images/P/0723263663.01.L.jpg,8 in Children's Books on Dogs | 9 in Classics for Children | 15 in Children's Books on Mammals
10,Harry Potter Children's Collection: The Complete Collection (Children's Paperback),J.K. Rowling,40.0,Paperback,4.9,36968.0,,9781408856772,3872,Classic Books,8+,2025-01-23T12:34:56.557859,1408856778,https://www.amazon.co.uk/Harry-Potter-Box-Set-Collection/dp/1408856778,https://images-eu.ssl-images-amazon.com/images/P/1408856778.01.L.jpg,2 in Chapter Books for Children | 4 in Fiction Classics for Young Adults | 8 in Contemporary Fantasy for Young Adults
